case_id,expected_incident,expected_root_service,expected_root_metric,expected_action
RE2-SS/carts_cpu/1,true,carts,cpu,
RE2-SS/carts_cpu/2,true,carts,cpu,
RE2-SS/carts_cpu/3,true,carts,cpu,
RE2-SS/carts_delay/1,true,carts,latency,
RE2-SS/carts_delay/2,true,carts,latency,
RE2-SS/carts_delay/3,true,carts,latency,
RE2-SS/carts_disk/1,true,carts,disk,
RE2-SS/carts_disk/2,true,carts,disk,
RE2-SS/carts_disk/3,true,carts,disk,
RE2-SS/carts_loss/1,true,carts,error,
RE2-SS/carts_loss/2,true,carts,error,
RE2-SS/carts_loss/3,true,carts,error,
RE2-SS/carts_mem/1,true,carts,mem,
RE2-SS/carts_mem/2,true,carts,mem,
RE2-SS/carts_mem/3,true,carts,mem,
RE2-SS/carts_socket/1,true,carts,socket,
RE2-SS/carts_socket/2,true,carts,socket,
RE2-SS/carts_socket/3,true,carts,socket,
RE2-SS/catalogue_cpu/1,true,catalogue,cpu,
RE2-SS/catalogue_cpu/2,true,catalogue,cpu,
RE2-SS/catalogue_cpu/3,true,catalogue,cpu,
RE2-SS/catalogue_delay/1,true,catalogue,latency,
RE2-SS/catalogue_delay/2,true,catalogue,latency,
RE2-SS/catalogue_delay/3,true,catalogue,latency,
RE2-SS/catalogue_disk/1,true,catalogue,disk,
RE2-SS/catalogue_disk/2,true,catalogue,disk,
RE2-SS/catalogue_disk/3,true,catalogue,disk,
RE2-SS/catalogue_loss/1,true,catalogue,error,
RE2-SS/catalogue_loss/2,true,catalogue,error,
RE2-SS/catalogue_loss/3,true,catalogue,error,
RE2-SS/catalogue_mem/1,true,catalogue,mem,
RE2-SS/catalogue_mem/2,true,catalogue,mem,
RE2-SS/catalogue_mem/3,true,catalogue,mem,
RE2-SS/catalogue_socket/1,true,catalogue,socket,
RE2-SS/catalogue_socket/2,true,catalogue,socket,
RE2-SS/catalogue_socket/3,true,catalogue,socket,
RE2-SS/orders_cpu/1,true,orders,cpu,
RE2-SS/orders_cpu/2,true,orders,cpu,
RE2-SS/orders_cpu/3,true,orders,cpu,
RE2-SS/orders_delay/1,true,orders,latency,
RE2-SS/orders_delay/2,true,orders,latency,
RE2-SS/orders_delay/3,true,orders,latency,
RE2-SS/orders_disk/1,true,orders,disk,
RE2-SS/orders_disk/2,true,orders,disk,
RE2-SS/orders_disk/3,true,orders,disk,
RE2-SS/orders_loss/1,true,orders,error,
RE2-SS/orders_loss/2,true,orders,error,
RE2-SS/orders_loss/3,true,orders,error,
RE2-SS/orders_mem/1,true,orders,mem,
RE2-SS/orders_mem/2,true,orders,mem,
RE2-SS/orders_mem/3,true,orders,mem,
RE2-SS/orders_socket/1,true,orders,socket,
RE2-SS/orders_socket/2,true,orders,socket,
RE2-SS/orders_socket/3,true,orders,socket,
RE2-SS/payment_cpu/1,true,payment,cpu,
RE2-SS/payment_cpu/2,true,payment,cpu,
RE2-SS/payment_cpu/3,true,payment,cpu,
RE2-SS/payment_delay/1,true,payment,latency,
RE2-SS/payment_delay/2,true,payment,latency,
RE2-SS/payment_delay/3,true,payment,latency,
RE2-SS/payment_disk/1,true,payment,disk,
RE2-SS/payment_disk/2,true,payment,disk,
RE2-SS/payment_disk/3,true,payment,disk,
RE2-SS/payment_loss/1,true,payment,error,
RE2-SS/payment_loss/2,true,payment,error,
RE2-SS/payment_loss/3,true,payment,error,
RE2-SS/payment_mem/1,true,payment,mem,
RE2-SS/payment_mem/2,true,payment,mem,
RE2-SS/payment_mem/3,true,payment,mem,
RE2-SS/payment_socket/1,true,payment,socket,
RE2-SS/payment_socket/2,true,payment,socket,
RE2-SS/payment_socket/3,true,payment,socket,
RE2-SS/user_cpu/1,true,user,cpu,
RE2-SS/user_cpu/2,true,user,cpu,
RE2-SS/user_cpu/3,true,user,cpu,
RE2-SS/user_delay/1,true,user,latency,
RE2-SS/user_delay/2,true,user,latency,
RE2-SS/user_delay/3,true,user,latency,
RE2-SS/user_disk/1,true,user,disk,
RE2-SS/user_disk/2,true,user,disk,
RE2-SS/user_disk/3,true,user,disk,
RE2-SS/user_loss/1,true,user,error,
RE2-SS/user_loss/2,true,user,error,
RE2-SS/user_loss/3,true,user,error,
RE2-SS/user_mem/1,true,user,mem,
RE2-SS/user_mem/2,true,user,mem,
RE2-SS/user_mem/3,true,user,mem,
RE2-SS/user_socket/1,true,user,socket,
RE2-SS/user_socket/2,true,user,socket,
RE2-SS/user_socket/3,true,user,socket,
RE3-SS/carts_f1/1,true,carts,,
RE3-SS/carts_f1/2,true,carts,,
RE3-SS/carts_f1/3,true,carts,,
RE3-SS/carts_f1/4,true,carts,,
RE3-SS/carts_f3/1,true,carts,,
RE3-SS/carts_f3/2,true,carts,,
RE3-SS/carts_f3/3,true,carts,,
RE3-SS/carts_f3/4,true,carts,,
RE3-SS/carts_f4/1,true,carts,,
RE3-SS/carts_f4/2,true,carts,,
RE3-SS/carts_f4/3,true,carts,,
RE3-SS/carts_f4/4,true,carts,,
RE3-SS/front-end_f1/1,true,front-end,,
RE3-SS/front-end_f1/2,true,front-end,,
RE3-SS/front-end_f1/3,true,front-end,,
RE3-SS/front-end_f2/1,true,front-end,,
RE3-SS/front-end_f2/2,true,front-end,,
RE3-SS/front-end_f2/3,true,front-end,,
RE3-SS/front-end_f3/1,true,front-end,,
RE3-SS/front-end_f3/2,true,front-end,,
RE3-SS/front-end_f3/3,true,front-end,,
RE3-SS/orders_f1/1,true,orders,,
RE3-SS/orders_f1/2,true,orders,,
RE3-SS/orders_f1/3,true,orders,,
RE3-SS/orders_f3/1,true,orders,,
RE3-SS/orders_f3/2,true,orders,,
RE3-SS/orders_f3/3,true,orders,,
RE3-SS/orders_f4/1,true,orders,,
RE3-SS/orders_f4/2,true,orders,,
RE3-SS/orders_f4/3,true,orders,,
